pH;alcohol;quality
3.51;9.4;5
3.2;9.8;5
3.26;9.8;5
3.16;9.8;6
3.51;9.4;5
3.51;9.4;5
3.3;9.4;5
3.39;10.0;7
3.36;9.5;7
3.35;10.5;5
3.28;9.2;5
3.35;10.5;5
3.58;9.9;5
3.26;9.1;5
3.16;9.2;5
3.17;9.2;5
3.3;10.5;7
3.11;9.3;5
3.38;9.0;4
3.04;9.2;6
3.39;9.4;6
3.52;9.7;5
3.17;9.5;5
3.17;9.4;5
3.43;9.7;6
3.34;9.3;5
3.28;9.5;5
3.17;9.5;5
3.47;9.4;5
3.38;9.8;6
3.35;10.1;5
3.46;10.6;6
3.17;9.8;5
3.45;9.4;6
3.38;9.2;5
3.4;9.6;6
3.42;10.8;6
3.23;9.7;7
3.5;9.8;4
3.33;10.5;5
3.33;10.5;5
3.26;9.3;4
3.21;10.5;6
3.3;10.3;5
3.48;9.5;5
3.9;13.1;4
3.25;9.2;5
3.25;9.5;5
3.34;9.2;5
3.32;9.2;5
3.15;9.2;5
3.4;9.4;6
3.39;9.4;6
3.2;9.4;5
3.17;10.2;6
3.34;9.5;5
3.04;9.6;5
3.26;9.4;5
3.43;10.0;5
3.41;9.4;6
3.44;9.2;5
3.21;9.3;5
3.38;9.5;7
3.39;9.8;5
3.41;10.9;5
3.41;10.9;5
3.42;9.6;5
3.44;10.7;5
3.28;10.7;5
3.34;10.5;6
3.32;9.5;6
3.32;9.5;5
3.31;9.5;5
3.31;9.2;4
3.28;9.6;5
3.54;10.5;5
3.54;10.5;5
3.52;10.7;6
3.38;10.1;5
3.16;9.1;4
3.41;9.2;5
3.13;9.4;5
3.36;9.1;5
3.16;9.4;5
3.44;10.3;6
3.41;10.1;5
2.93;9.9;6
3.39;9.6;5
3.14;9.5;5
3.48;9.0;5
3.23;9.5;5
2.93;9.9;6
2.93;9.8;5
3.39;9.6;5
3.75;10.5;4
3.85;12.9;6
3.45;10.7;5
3.25;9.2;5
3.39;9.8;5
3.3;9.0;6
